question_ru,option_1_ru,option_2_ru,option_3_ru,option_4_ru,answer_ru
"В Германии люди могут открыто говорить против правительства, потому что …",здесь действует свобода вероисповедания.,люди платят налоги.,люди имеют право голоса.,здесь действует свобода слова.,здесь действует свобода слова.
"В Германии родители могут до 14 лет ребенка решать, будет ли он в школе посещать …",уроки истории.,уроки религии.,уроки политики.,уроки языка.,уроки религии.
Германия является правовым государством. Что это значит?,Все жители и государство должны соблюдать законы.,Государство не обязано соблюдать законы.,Только немцы должны соблюдать законы.,Суды создают законы.,Все жители и государство должны соблюдать законы.
Какое право относится к основным правам в Германии?,владение оружием,право кулака,свобода слова,самосуд,свобода слова
Выборы в Германии свободны. Что это означает?,"Можно принимать деньги за голосование за конкретного кандидата.","Только люди, никогда не сидевшие в тюрьме, могут голосовать.",Избиратель не должен подвергаться влиянию или быть принужденным к определенному голосу и не иметь от этого негативных последствий.,"Все, имеющие право голоса, должны голосовать.",Избиратель не должен подвергаться влиянию или быть принужденным к определенному голосу и не иметь от этого негативных последствий.
Как называется конституция Германии?,народный закон,федеральный закон,немецкий закон,основной закон,основной закон
"Какое право гарантируется основным законом Германии? Право на …",свободу вероисповедания и совести,развлечения,работу,жилье,свободу вероисповедания и совести
Что не включено в основной закон Германии?,Достоинство человека неприкосновенно.,Все должны иметь одинаковый доход.,Каждый имеет право на свое мнение.,Все равны перед законом.,Все должны иметь одинаковый доход.
Какое основное право в Германии действует только для иностранцев? Основное право на …,защиту семьи,человеческое достоинство,убежище,свободу слова,убежище
Что соответствует основному закону Германии?,телесное наказание,пытки,смертная казнь,денежный штраф,денежный штраф
Как называется конституция Федеративной Республики Германии?,основной закон,федеральная конституция,кодекс законов,договор о конституции,основной закон
Партия в Бундестаге хочет отменить свободу прессы. Возможно ли это?,"Да, если больше половины депутатов в Бундестаге согласны.","Да, но для этого нужно две трети голосов депутатов Бундестага.","Нет, потому что свобода прессы — это основное право. Оно не может быть отменено.","Нет, потому что только Бундесрат может отменить свободу прессы.","Нет, потому что свобода прессы — это основное право. Оно не может быть отменено."
"В парламенте термин ""оппозиция"" означает …",правящие партии.,фракцию с наибольшим числом депутатов.,"все партии, которые на последних выборах преодолели порог в 5%.","всех депутатов, не относящихся к правящей партии/правящим партиям.","всех депутатов, не относящихся к правящей партии/правящим партиям."
"Свобода слова в Германии означает, что я могу …",оскорблять прохожих на улице.,выражать свое мнение в письмах в редакцию.,"публично использовать символику нацистов, ХАМАС или Исламского государства.","выражать свое мнение, только если оно не противоречит правительству.",выражать свое мнение в письмах в редакцию.
Что запрещает основной закон Германии?,военную службу,принудительный труд,свободу выбора профессии,работу за границей,принудительный труд
Когда в Германии ограничена свобода слова?,при публичном распространении ложных утверждений о конкретных лицах,при высказывании мнений о федеральном правительстве,при обсуждении религий,при критике государства,при публичном распространении ложных утверждений о конкретных лицах
Немецкие законы запрещают …,свободу слова для граждан.,петиции граждан.,свободу собраний для граждан.,неравное обращение государства с гражданами.,неравное обращение государства с гражданами.
Какое основное право гарантировано статьей 1 основного закона Федеративной Республики Германии?,неприкосновенность человеческого достоинства,право на жизнь,свобода вероисповедания,свобода слова,неприкосновенность человеческого достоинства
"Что означает право ""свободы передвижения"" в Германии?",Человек может сам выбирать место жительства.,Человек может менять профессию.,Человек может выбрать другую религию.,Человек может появляться на улице только легко одетым.,Человек может сам выбирать место жительства.
"Партия в Германии стремится установить диктатуру. Тогда она …",терпима.,ориентирована на правовое государство.,законопослушна.,противоречит конституции.,противоречит конституции.
Как выглядит герб Федеративной Республики Германии?,Изображение 1,Изображение 2,Изображение 3,Изображение 4,Изображение 1
Какая форма правления в Германии?,монархия,диктатура,республика,княжество,республика
В Германии большинство работающих людей …,занято в небольших семейных предприятиях.,добровольно работают на федеральные земли.,являются индивидуальными предпринимателями с собственным бизнесом.,работают в компании или государственном учреждении.,работают в компании или государственном учреждении.
Сколько федеральных земель насчитывается в Федеративной Республике Германия?,14,15,16,17,16
Какая территория не является федеральной землей Федеративной Республики Германия?,Эльзас-Лотарингия,Северный Рейн-Вестфалия,Мекленбург-Передняя Померания,Саксония-Анхальт,Эльзас-Лотарингия
Германия — это …,коммунистическая республика.,демократическое и социальное федеративное государство.,капиталистическая и социальная монархия.,социальное и социалистическое государство.,демократическое и социальное федеративное государство.
Германия — это …,социалистическое государство.,федеративное государство.,диктатура.,монархия.,федеративное государство.
Кто выбирает депутатов в Бундестаг в Германии?,военные,представители бизнеса,"народ,имеющий право голоса",администрация,"народ,имеющий право голоса"
Какое животное является символом Федерации Германии?,лев,орел,медведь,лошадь,орел
Что не является признаком нашей демократии?,регулярные выборы,цензура прессы,свобода слова,разные партии,цензура прессы
Сотрудничество партий для формирования правительства в Германии называется …,единство.,коалиция.,министерство.,фракция.,коалиция.
Что не является государственной властью в Германии?,законодательная власть,исполнительная власть,средства массовой информации,правосудие,средства массовой информации
Какое утверждение верно? В Германии …,государство и религиозные организации отделены друг от друга.,религиозные организации формируют государство.,государство зависит от религиозных организаций.,государство и религиозные организации составляют единое целое.,государство и религиозные организации отделены друг от друга.
Что не является характеристикой Германии?,демократия,правовое государство,монархия,социальное государство,монархия
Каким образом финансируется социальное обеспечение в Германии?,церковным налогом,социальными взносами,пожертвованиями,членскими взносами,социальными взносами
Какая мера обеспечивает социальную безопасность в Германии?,медицинское страхование,автострахование,страхование недвижимости,страхование гражданской ответственности,медицинское страхование
Как называют руководителей большинства федеральных земель в Германии?,первый министр,премьер-министр,сенатор,министр-президент,министр-президент
Федеративная Республика Германия является демократическим и социальным …,союзом государств.,федеративным государством.,конфедерацией.,унитарным государством.,федеративным государством.
Что есть у каждой федеральной земли Германии?,собственный министр иностранных дел,собственная валюта,собственная армия,собственное правительство,собственное правительство
С какими словами начинается национальный гимн Германии?,"Народы, слушайте сигнал…","Единство, право и свобода…",Радость прекрасных богов…,"Германия, объединенная родина…","Единство, право и свобода…"
Почему в демократии существует более одной партии?,чтобы разные мнения граждан были представлены,чтобы ограничить коррупцию в политике,чтобы предотвратить политические демонстрации,чтобы стимулировать экономическую конкуренцию,чтобы разные мнения граждан были представлены
Кто принимает новые законы в Германии?,правительство,парламент,суды,полиция,парламент
Когда в Германии партия может быть запрещена?,если ее избирательная кампания слишком дорогая,если она выступает против конституции,если она критикует главу государства,если ее программа предлагает новое направление,если она выступает против конституции
Кого граждане Германии не могут выбирать напрямую?,депутатов Европарламента,федерального президента,депутатов ландтага,депутатов Бундестага,федерального президента
К какому виду страхования относится страхование на случай ухода за пожилыми людьми?,социальное страхование,страхование от несчастных случаев,страхование домашнего имущества,страхование гражданской ответственности и пожарное страхование,социальное страхование
У государства Германии много задач. Какая из них относится к его обязанностям?,строительство дорог и школ.,продажа продуктов питания и одежды.,обеспечение всех жителей бесплатными газетами.,производство автомобилей и автобусов.,строительство дорог и школ.
Какая задача не входит в обязанности немецкого государства?,оплата отпусков для всех граждан,выплата детских пособий,поддержка музеев,поддержка спортсменов,оплата отпусков для всех граждан
Какой орган не относится к конституционным органам Германии?,бундесрат,федеральный президент,собрание граждан,правительство,собрание граждан
Кто определяет школьную политику в Германии?,учителя,федеральные земли,министерство семьи,университеты,федеральные земли
Как называется экономическая система в Германии?,свободная централизованная экономика,социальная рыночная экономика,централизованная плановая экономика,плановая экономика,социальная рыночная экономика
"Что не соответствует демократическому правовому государству?",Люди могут критически высказываться о правительстве.,Граждане могут мирно демонстрировать.,Человека могут задержать частные лица без оснований.,Человека могут задержать за преступление.,Человека могут задержать частные лица без оснований.
"Что означает ""народный суверенитет""? Вся государственная власть исходит от …",народа.,Бундестага.,прусского короля.,Федерального Конституционного Суда.,народа.
"Что означает ""правовое государство"" в Германии?",Государство всегда право.,Существуют только правые партии.,Граждане принимают законы.,Государство обязано соблюдать законы.,Государство обязано соблюдать законы.
Что не является государственной властью в Германии?,законодательная власть,судебная власть,исполнительная власть,директивная власть,директивная власть
Что изображено на этом изображении?,здание Бундестага в Берлине,Федеральный Конституционный Суд в Карлсруэ,здание Бундесрата в Берлине,канцелярия федерального канцлера в Берлине,здание Бундестага в Берлине
Какое учреждение относится к местному самоуправлению в Германии?,приходской совет,отдел общественного порядка,налоговая служба,министерство иностранных дел,отдел общественного порядка
Кто обычно избирается президентом Бундестага в Германии?,старейший депутат парламента,министр-президент крупнейшей федеральной земли,бывший федеральный канцлер,депутат крупнейшей фракции,депутат крупнейшей фракции
Кто назначает министров федерального правительства в Германии?,председатель Федерального Конституционного Суда,федеральный президент,председатель Бундесрата,председатель Бундестага,федеральный президент
Сколько лет назад на территории современной Германии появилась первая еврейская община?,около 300 лет назад,около 700 лет назад,около 1150 лет назад,около 1700 лет назад,около 1700 лет назад
К Бундестагу и Бундесрату в Германии относится …,исполнительная власть.,законодательная власть.,директивная власть.,судебная власть.,законодательная власть.
"Что означает ""народный суверенитет""?",Королева/король управляет народом.,Федеральный Конституционный Суд выше конституции.,Интересы лобби групп осуществляются совместно с правительством.,Государственная власть исходит от народа.,Государственная власть исходит от народа.
"Когда выбирается парламент федеральной земли Германии, это называется …",муниципальные выборы,выборы в ландтаг,выборы в Европарламент,выборы в Бундестаг,выборы в ландтаг
Что не относится к исполнительной власти в Германии?,полиция,суды,налоговая служба,министерства,суды
Федеративная Республика Германия сегодня разделена на …,четыре оккупационные зоны.,восточное и западное государство.,16 кантонов.,"федерацию, земли и коммуны.","федерацию, земли и коммуны."
"К обязанностям Бундестага не относится …",разработка законов.,контроль за федеральным правительством.,избрание федерального канцлера.,формирование федерального кабинета.,формирование федерального кабинета.
Какие города имеют самые крупные еврейские общины в Германии?,Берлин и Мюнхен,Гамбург и Эссен,Нюрнберг и Штутгарт,Вормс и Шпайер,Берлин и Мюнхен
Какая задача в Германии в основном относится к федеральным землям?,оборонная политика,внешняя политика,экономическая политика,школьная политика,школьная политика
Почему государство контролирует школьную систему в Германии?,потому что в Германии существуют только государственные школы,потому что все школьники обязаны получить аттестат,потому что в разных федеральных землях разные школы,потому что это предусмотрено основным законом,потому что это предусмотрено основным законом
Федеративная Республика Германия имеет трехступенчатую административную систему. Как называется низший политический уровень?,городские советы,районные советы,общины,районные управления,общины
Федеральный президент Германии Густав Хайнеман вручает Хельмуту Шмидту в 1974 году удостоверение о назначении федеральным канцлером. Какие обязанности выполняет федеральный президент Германии?,он/она управляет государственными делами.,он/она контролирует правящую партию.,он/она выбирает министров.,он/она предлагает кандидатуру канцлера на выборы.,он/она предлагает кандидатуру канцлера на выборы.
Где чаще всего находится федеральный канцлер Германии? Чаще всего он/она находится …,"в Бонне, потому что там находится канцлерия и Бундестаг.","в замке Мезеберг, где принимаются государственные гости.","в замке Бельвю, официальной резиденции федерального президента.","в Берлине, потому что там находятся канцлерия и Бундестаг.","в Берлине, потому что там находятся канцлерия и Бундестаг."
Как зовут нынешнего федерального канцлера Германии?,Герхард Шредер,Ангела Меркель,Франциска Гиффай,Олаф Шольц,Олаф Шольц
Две крупнейшие фракции в Бундестаге Германии в настоящее время называются …,ХДС/ХСС и СДПГ.,Левые и Зеленые.,СвДП и СДПГ.,Левые и СвДП.,ХДС/ХСС и СДПГ.
Как называется парламент Германии?,Федеральное собрание,Народная палата,Бундестаг,Федеральный суд,Бундестаг
Как зовут нынешнего главы государства Германии?,Франк-Вальтер Штайнмайер,Бэрбель Бас,Бодо Рамелов,Иоахим Гаук,Франк-Вальтер Штайнмайер
Что означает аббревиатура CDU в Германии?,Христианский Демократический Союз,Клуб Немецких Предпринимателей,Христианская Немецкая Экологическая Организация,Христианский Демократический Союз,Христианский Демократический Союз
Что такое бундесвер?,немецкая полиция,немецкий порт,немецкая гражданская инициатива,немецкая армия,немецкая армия
Что означает аббревиатура SPD?,Социалистическая Партия Германии,Социально-политическая Партия Германии,Социал-демократическая Партия Германии,Социально-справедливая Партия Германии,Социал-демократическая Партия Германии
Что означает аббревиатура FDP в Германии?,Мирная Демонстративная Партия,Свободная Партия Германии,Лидерская Демократическая Партия,Свободная Демократическая Партия,Свободная Демократическая Партия
Какой суд в Германии отвечает за толкование Основного закона?,Высший земельный суд,Участковый суд,Федеральный Конституционный Суд,Административный суд,Федеральный Конституционный Суд
Кто выбирает федерального канцлера в Германии?,Федеральный совет,Федеральное собрание,народ,Бундестаг,Бундестаг
Кто возглавляет федеральный кабинет Германии?,председатель Бундестага,федеральный президент,председатель Бундесрата,федеральный канцлер,федеральный канцлер
Кто выбирает федерального канцлера Германии?,народ,Федеральное собрание,Бундестаг,федеральное правительство,Бундестаг
Какова основная задача федерального президента Германии? Он/она …,управляет страной.,разрабатывает законы.,представляет страну.,следит за соблюдением законов.,представляет страну.
Кто формирует Бундесрат Германии?,депутаты Бундестага,министры федерального правительства,представители правительств федеральных земель,члены партий,представители правительств федеральных земель
Кто выбирает федерального президента Германии?,Федеральное собрание,Бундесрат,федеральный парламент,Федеральный Конституционный Суд,Федеральное собрание
Кто является главой государства Федеративной Республики Германия?,федеральный канцлер,федеральный президент,председатель Бундесрата,председатель Бундестага,федеральный президент
Парламентская оппозиция в Бундестаге Германии …,контролирует правительство.,"определяет, кто станет министром.","решает, кто войдет в Бундесрат.",предлагает кандидатов на пост глав регионов.,контролирует правительство.
Как называется объединение депутатов одной партии в парламенте Германии?,союз,совет старейшин,фракция,оппозиция,фракция
Федеральные земли Германии участвуют в законодательной деятельности через …,Бундесрат.,Федеральное собрание.,Бундестаг.,федеральное правительство.,Бундесрат.
Изменение состава правительства в федеральной земле Германии может повлиять на федеральную политику. Управление становится …,"сложнее, если изменится большинство в Бундестаге.","легче, если новые партии войдут в Бундесрат.","сложнее, если изменится большинство в Бундесрате.","легче, если земля богатая.","сложнее, если изменится большинство в Бундесрате."
Что означает аббревиатура CSU в Германии?,Христианский Безопасный Союз,Христианский Южно-Германский Союз,Христианский Союз Социальных Предпринимателей,Христианский Социальный Союз,Христианский Социальный Союз
"Чем больше ""вторых голосов"" получает партия на выборах в Бундестаг, тем …",меньше ей нужно первых голосов.,больше кандидатов от этой партии избирается в парламент.,"выше риск необходимости формировать коалицию.",больше мест получает партия в парламенте.,больше мест получает партия в парламенте.
С какого возраста в Германии можно участвовать в выборах в Бундестаг?,16,18,21,23,18
Что является обязательным для большинства детей в Германии?,обязательное голосование,обязательное школьное обучение,обязательное молчание,обязательная религия,обязательное школьное обучение
"Как может быть наказан человек, отрицающий Холокост?",сокращением социальных выплат,до 100 часов общественных работ,"никак, отрицание Холокоста разрешено",лишением свободы до пяти лет или штрафом,лишением свободы до пяти лет или штрафом
"Что автоматически оплачивается в Германии, если человек официально трудоустроен?",социальное страхование,социальная помощь,детские пособия,жилищная помощь,социальное страхование
"Если депутаты Бундестага меняют свою фракцию, …",они не могут больше участвовать в заседаниях парламента.,правительство может потерять свое большинство.,федеральный президент должен дать на это согласие.,избиратели могут снова голосовать за этих депутатов.,правительство может потерять свое большинство.
Кто оплачивает социальное страхование в Германии?,работодатели и работники,только работники,все граждане,только работодатели,работодатели и работники
Что не относится к обязательному социальному страхованию?,страхование жизни,обязательное пенсионное страхование,страхование по безработице,страхование на случай ухода за пожилыми,страхование жизни
Профсоюзы в Германии представляют интересы …,молодежи.,работников.,пенсионеров.,работодателей.,работников.
"За какие особые заслуги в политике, экономике, культуре или социальной сфере в Германии можно быть удостоенным награды? Это …",крест за заслуги.,орел Федерации.,орден Отечества.,почетное звание "Герой Германской Демократической Республики".,крест за заслуги.
"Что в Германии называют ""светофорной коалицией""? Это сотрудничество …",парламентских фракций ХДС и ХСС,"СДПГ, СвДП и Зеленых в одном правительстве.","ХСС, Левых и Зеленых в одном правительстве",парламентских фракций ХДС и СДПГ,"СДПГ, СвДП и Зеленых в одном правительстве."
Женщина в Германии теряет работу. Что не может быть причиной увольнения?,Женщина долго больна и нетрудоспособна.,Женщина часто опаздывает на работу.,Женщина занимается личными делами в рабочее время.,"Женщина ждет ребенка, и ее начальник об этом знает.","Женщина ждет ребенка, и ее начальник об этом знает."
Какие обязанности выполняют волонтеры на выборах в Германии?,Они помогают пожилым людям в кабинках для голосования.,Они пишут приглашения на выборы.,Они передают промежуточные итоги в СМИ.,Они считают голоса после завершения выборов.,Они считают голоса после завершения выборов.
На выборах в Германии помогают волонтеры. Какая их обязанность?,Они помогают детям и пожилым людям голосовать.,Они пишут письма с информацией о местонахождении избирательного участка.,Они передают промежуточные результаты журналистам.,Они считают голоса после завершения выборов.,Они считают голоса после завершения выборов.
На сколько лет избирается Бундестаг в Германии?,2 года,4 года,6 лет,8 лет,4 года
"На выборах в Бундестаг в Германии может голосовать каждый, кто …",живет в Федеративной Республике Германия и хочет голосовать.,является гражданином Германии и достиг 18 лет.,живет в Германии не менее трех лет.,является гражданином Германии и достиг 21 года.,является гражданином Германии и достиг 18 лет.
Как часто обычно проходят выборы в Бундестаг в Германии?,каждые три года,каждые четыре года,каждые пять лет,каждые шесть лет,каждые четыре года
На сколько лет избирается Бундестаг в Германии?,2 года,3 года,4 года,5 лет,4 года
Какие действия в отношении государства Израиль запрещены в Германии?,публичная критика политики Израиля,вывешивание израильского флага на частной территории,обсуждение политики Израиля,публичный призыв к уничтожению Израиля,публичный призыв к уничтожению Израиля
Выборы в Германии …,специальные.,тайные.,профессиональные.,зависят от пола.,тайные.
"Выборы в Германии выигрывает партия, которая …",получила больше всего голосов.,получила поддержку большинства мужчин.,получила большинство голосов от работников.,получила больше всего первых голосов за своего кандидата в канцлеры.,получила больше всего голосов.
Участие в демократических выборах в Германии — это …,обязанность.,право.,принуждение.,обуза.,право.
"Что означает ""активное избирательное право"" в Германии?",Человек может быть избран.,Человек обязан голосовать.,Человек имеет право голосовать.,Человек должен участвовать в подсчете голосов.,Человек имеет право голосовать.
"Если вы имеете право голосовать на выборах в Бундестаг в Германии, это называется …",активная избирательная кампания.,активная избирательная процедура.,активная предвыборная борьба.,активное избирательное право.,активное избирательное право.
"Сколько процентов вторых голосов должна набрать партия, чтобы пройти в Бундестаг Германии?",3%,4%,5%,6%,5%
Кто может стать членом одного из 40 еврейских спортивных клубов «Маккаби» в Германии?,только граждане Германии,только граждане Израиля,только религиозные люди,все люди,все люди
Выборы в Германии свободны. Что это означает?,Все осужденные за преступления не могут голосовать.,"Если я хочу голосовать, мой работодатель должен предоставить мне свободное время.","Каждый человек может без принуждения решать, хочет ли он голосовать и за кого.","Я могу свободно решать, где голосовать.","Каждый человек может без принуждения решать, хочет ли он голосовать и за кого."
Избирательная система в Германии — это …,цензовое избирательное право.,трехуровневая избирательная система.,мажоритарная и пропорциональная избирательная система.,всеобщее мужское избирательное право.,мажоритарная и пропорциональная избирательная система.
"Партия, которая хочет попасть в Бундестаг, должна набрать минимальное количество голосов. Это называется …",5%-барьер.,порог допуска.,базовое значение.,директива.,5%-барьер.
Какого принципа придерживаются выборы в Германии? Выборы в Германии …,"свободные, равные, тайные.","открытые, безопасные, свободные.","закрытые, равные, безопасные.","безопасные, открытые, добровольные.","свободные, равные, тайные."
"Что такое ""5%-барьер"" на выборах в Германии?",Правило голосования в Бундестаге для мелких партий,контроль явки в Бундестаге для голосований,"минимальный процент голосов, необходимый для прохождения в парламент",контроль явки в Бундесрате для голосований,"минимальный процент голосов, необходимый для прохождения в парламент"
Выборы в Бундестаг в Германии — это выборы …,федерального канцлера.,парламентов земель.,парламента Германии.,федерального президента.,парламента Германии.
"В демократической системе одна из функций регулярных выборов — это …","заставить граждан отдать свои голоса.","позволить смену правительства в соответствии с волей большинства избирателей.","сохранить существующие законы.","дать больше власти бедным.","позволить смену правительства в соответствии с волей большинства избирателей."
Что получают избиратели в Германии перед выборами?,уведомление о выборах от муниципалитета,разрешение на выборы от федерального президента,уведомление от Федерального собрания,уведомление от приходского совета,уведомление о выборах от муниципалитета
"Почему в избирательном законодательстве Германии существует ""5%-барьер""? Это сделано, чтобы …",программы мелких партий не были слишком схожи.,граждане не терялись при большом количестве мелких партий.,мелкие партии не усложняли формирование правительства.,мелкие партии не усложняли формирование правительства.
"Члены парламента, которых выбирают граждане, называются …",депутатами.,канцлерами.,послами.,министрами-президентами.,депутатами.
Кого выбирают в Германии на всеобщих выборах?,федерального канцлера,министра-президента федеральной земли,Бундестаг,федерального президента,Бундестаг
Какие бюллетени являются действительными на выборах в Бундестаг?,1,2,3,4,1
Кто такая/такой мэр в Германии?,руководитель школы.,руководитель банка.,глава муниципалитета.,председатель партии.,глава муниципалитета.
Многие люди в Германии работают добровольно в свободное время. Что это значит?,Они работают солдатами.,Они добровольно и без оплаты работают в объединениях и организациях.,Они работают в федеральном правительстве.,Они работают в больнице и получают за это деньги.,Они добровольно и без оплаты работают в объединениях и организациях.
Что разрешено на выборах в Бундестаг и в ландтаги в Германии?,Муж голосует за жену.,Голосование можно провести по почте.,Голосовать можно по телефону.,Дети с 14 лет имеют право голоса.,Голосование можно провести по почте.
"Ходят слухи, что автобусный маршрут, которым вы ездите на работу, могут отменить. Что вы можете сделать, чтобы сохранить маршрут?",Присоединиться к гражданской инициативе по сохранению маршрута или создать свою.,Вступить в спортивный клуб и начать тренироваться ездить на велосипеде.,"Обратиться в налоговую, так как я налогоплательщик и имею право на маршрут.","Написать письмо в лесничество.",Присоединиться к гражданской инициативе по сохранению маршрута или создать свою.
Кого представляют профсоюзы в Германии?,крупные компании,малый бизнес,самозанятых,работников,работников
В каком случае можно обратиться в трудовой суд в Германии?,при неправильных расчетах коммунальных услуг.,при несправедливом увольнении.,при проблемах с соседями.,при проблемах после ДТП.,при несправедливом увольнении.
Какой суд в Германии рассматривает споры на рабочем месте?,семейный суд,уголовный суд,трудовой суд,участковый суд,трудовой суд
"Что делать, если в Германии вас несправедливо уволили с работы?",продолжать работать и быть добрым к начальнику,подать претензию к работодателю,подать иск о защите от увольнения,пожаловаться на работодателя в полицию,подать иск о защите от увольнения
В каком случае в Германии начинается судебное разбирательство? Если кто-то …,перешел в другую религию.,совершил преступление и предъявлено обвинение.,"имеет мнение, отличное от правительства.","неправильно припарковал машину, и она была эвакуирована.",совершил преступление и предъявлено обвинение.
Что делает присяжный в Германии? Он/она …,принимает решение о виновности и наказании вместе с судьями.,консультирует граждан по правовым вопросам.,выдает документы.,защищает подсудимого.,принимает решение о виновности и наказании вместе с судьями.
Кто консультирует граждан по юридическим вопросам и представляет их в суде в Германии?,адвокат,судья,присяжный,прокурор,адвокат
Какова основная задача судьи в Германии? Судья …,представляет граждан в суде.,работает в суде и выносит приговоры.,изменяет законы.,сопровождает молодежь в суде.,работает в суде и выносит приговоры.
Судья в Германии относится к …,судебной власти.,исполнительной власти.,оперативной власти.,законодательной власти.,судебной власти.
